cell_id,nuc_area,nucGRint,cytoGRint,time,Dex_conc,replica,CalcCytoArea,normGRnuc,normGRcyt
2298,8978,2600.030377,2692.631876,10,1,A,16162.33725,1,16
2299,7706,3208.547423,2773.729948,10,1,A,13244.69215,5,17
2300,8433,2590.063546,2616.86422,10,1,A,14856.19192,1,16
2301,9401,2510.893716,2604.697374,10,1,A,17234.02582,1,15
2302,7834,2764.020937,2761.600584,10,1,A,13517.57549,2,17
2303,8591,3741.448351,2382.50114,10,1,A,15226.20373,8,13
2304,8200,2739.583075,2494.760832,10,1,A,14323.43019,2,14
2305,8252,3165.436584,2918.568897,10,1,A,14440.99826,4,19
2306,7721,3129.614168,2790.472932,10,1,A,13276.43087,4,17
2307,7869,3285.555562,2735.235876,10,1,A,13592.99914,5,17
2308,7657,3112.449168,2453.041142,10,1,A,13141.45598,4,14
2309,8284,2763.987255,2451.65154,10,1,A,14513.72812,2,14
2310,8117,2588.223495,2519.863354,10,1,A,14137.35866,1,15
2311,7717,3000.846612,2967.471909,10,1,A,13267.96098,3,19
2312,7888,2567.786684,2472.223088,10,1,A,13634.08855,1,14
2313,8473,2166.097575,2670.241142,10,1,A,14949.19804,0,16
2314,8754,2312.079648,2802.532121,10,1,A,15615.32707,0,17
2315,7777,2680.877535,2204.476599,10,1,A,13395.48459,1,11
2316,9449,2785.093589,2795.020483,10,1,A,17358.83429,2,17
2317,9379,2817.049984,2522.639955,10,1,A,17177.03981,2,15
2318,8484,3023.562819,3140.775871,10,1,A,14974.85409,3,20
2319,9068,2454.760084,2462.322452,10,1,A,16386.11616,0,14
