0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,60min
1,0,NaN,NaN,1,NaN,1,NaN,40,NaN,NaN,NaN,88,NaN,36,11,5
0,0,NaN,NaN,0,NaN,7,NaN,22,NaN,NaN,NaN,114,NaN,36,18,1
0,0,NaN,NaN,1,NaN,22,NaN,28,NaN,NaN,NaN,133,NaN,43,33,36
0,0,NaN,NaN,1,NaN,21,NaN,94,NaN,NaN,NaN,49,NaN,50,17,2
1,3,NaN,NaN,0,NaN,28,NaN,46,NaN,NaN,NaN,96,NaN,45,79,59
1,1,NaN,NaN,0,NaN,20,NaN,105,NaN,NaN,NaN,96,NaN,64,33,46
0,3,NaN,NaN,2,NaN,5,NaN,33,NaN,NaN,NaN,13,NaN,21,8,1
0,0,NaN,NaN,0,NaN,29,NaN,35,NaN,NaN,NaN,138,NaN,5,0,17
0,0,NaN,NaN,15,NaN,25,NaN,64,NaN,NaN,NaN,20,NaN,24,0,0
0,1,NaN,NaN,0,NaN,1,NaN,53,NaN,NaN,NaN,70,NaN,85,2,45
