0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,0,0,1,1,109,61,17,18,15,3,22,12,1,17,NaN
9,0,0,0,7,19,63,3,13,7,12,0,0,0,0,2,NaN
0,0,0,0,26,13,20,0,53,39,0,8,0,8,2,1,NaN
0,0,1,1,0,0,0,31,12,16,29,0,13,5,0,0,NaN
0,1,0,0,2,17,1,6,29,0,5,5,1,24,2,2,NaN
0,2,0,6,1,43,23,35,36,2,13,12,0,2,0,1,NaN
0,1,1,0,27,3,1,14,20,25,11,2,11,21,11,2,NaN
0,0,5,0,21,36,22,2,8,20,0,7,4,33,1,8,NaN
0,0,0,0,28,0,52,29,63,42,41,0,2,2,2,6,NaN
0,1,0,1,0,0,4,92,4,54,6,6,2,1,0,11,NaN
0,0,1,0,0,30,0,25,45,0,2,29,6,1,41,0,NaN
0,2,1,0,3,0,39,56,4,29,34,6,0,50,0,1,NaN
0,0,0,1,1,58,53,35,29,8,23,0,2,1,7,15,NaN
1,1,0,1,0,3,7,32,91,2,2,0,1,9,12,0,NaN
0,0,0,0,18,0,29,16,17,10,36,3,3,43,0,3,NaN
1,0,0,2,0,0,11,60,7,0,5,2,2,0,0,22,NaN
1,1,0,0,0,22,0,21,25,13,11,28,15,3,8,11,NaN
0,0,0,0,0,20,9,3,3,3,3,17,1,5,6,3,NaN
0,0,1,0,12,1,14,9,18,24,0,7,4,31,3,11,NaN
0,2,0,0,8,0,20,17,33,20,9,5,2,2,16,6,NaN
0,0,0,1,18,1,2,23,26,15,3,13,1,7,11,25,NaN
0,0,0,0,2,0,24,49,16,45,1,2,21,8,7,24,NaN
1,0,0,0,7,0,4,52,11,1,36,3,7,6,3,1,NaN
0,0,0,1,0,51,85,23,7,11,1,5,1,9,5,24,NaN
0,0,3,0,1,1,17,0,21,34,20,0,15,7,5,9,NaN
0,1,1,2,9,42,0,0,71,11,6,0,3,9,0,18,NaN
0,0,1,1,5,1,0,47,37,5,26,29,4,10,9,1,NaN
1,0,2,1,0,1,20,10,7,21,8,9,11,14,0,10,NaN
0,0,1,2,1,3,57,67,48,1,14,11,1,6,2,2,NaN
1,0,0,0,15,15,16,16,36,10,4,7,0,2,1,2,NaN
0,0,2,0,10,10,9,9,76,4,0,2,3,47,1,0,NaN
