Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3,tryptCond1,tryptCond2,tryptCond3,tryptCond4,tryptCond5
108,DUSP1_TPL,O,0.0,0,,6944,13694.0,,,1144.40841,1076.77874,10.0,22.0,15.0,,,,1,2,3,4,5
109,DUSP1_TPL,O,0.0,0,,8394,14750.0,,,1291.55409,1283.07593,65.0,102.0,,,,,1,2,3,4,5
110,DUSP1_TPL,O,0.0,0,,7965,10791.0,,,1194.38041,1154.76332,33.0,30.0,,,,,1,2,3,4,5
111,DUSP1_TPL,O,0.0,0,,6933,11391.0,,,1281.61229,1279.73365,21.0,71.0,,,,,1,2,3,4,5
112,DUSP1_TPL,O,0.0,0,,8462,9773.0,,,1104.00898,1073.16494,14.0,14.0,,,,,1,2,3,4,5
113,DUSP1_TPL,O,0.0,0,,7388,14478.0,,,1225.38156,1182.85026,26.0,33.0,,,,,1,2,3,4,5
114,DUSP1_TPL,O,0.0,0,,6969,11211.0,,,1078.10131,1083.52609,12.0,32.0,,,,,1,2,3,4,5
115,DUSP1_TPL,O,0.0,0,,6795,5945.0,,,984.84253,964.68192,16.0,23.0,,,,,1,2,3,4,5
116,DUSP1_TPL,O,0.0,0,,7012,12685.0,,,1368.95308,1372.55617,40.0,72.0,,,,,1,2,3,4,5
117,DUSP1_TPL,O,0.0,0,,8395,14003.0,,,1348.5888,1321.94208,59.0,103.0,,,,,1,2,3,4,5
118,DUSP1_TPL,O,0.0,0,,8551,15134.0,,,1211.33902,1182.86415,61.0,112.0,,,,,1,2,3,4,5
119,DUSP1_TPL,O,0.0,0,,7760,14287.0,,,1238.38479,1212.93771,23.0,48.0,,,,,1,2,3,4,5
120,DUSP1_TPL,O,0.0,0,,7608,10412.0,,,1097.25736,1067.3374,26.0,50.0,,,,,1,2,3,4,5
121,DUSP1_TPL,O,0.0,0,,6630,9267.0,,,1207.58341,1176.29945,49.0,46.0,,,,,1,2,3,4,5
122,DUSP1_TPL,O,0.0,0,,8702,9656.0,,,1124.57332,1136.27185,25.0,25.0,,,,,1,2,3,4,5
